"NOME ITA","NOME ENG","DESCRIZIONE ITA","DESCRIZIONE ENG","CATEGORIA","LATITUDINE (es. 46.281419)","LONGITUDINE (es. 11.523885)","VIA","CAP","LOCALITA'/CITTA'","CONTATTO NOME","CONTATTO TELEFONO","CONTATTO EMAIL","CONTATTO FAX","CONTATTO URL","ORARI ITA","ORARI ENG","SERVIZI ITA","SERVIZI ENG","PREZZI ITA","PREZZI ENG","TAG 1","TAG 2","TAG 3","TAG 4","TAG AGGIUNTIVI","CAPIENZA ITA","CAPIENZA ENG","STORIA ITA","STORIA ENG","CURIOSITA' ITA","CURIOSITA' ENG","COME ARRIVARE ITA","COME ARRIVARE ENG","ACCESSIBILITA' ITA","ACCESSIBILITA' ENG"
"parco giochi - Daiano",,,,"parcheggio","46,29999","11,44992","Via San Tommaso",38030,"Daiano",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Coltura - Daiano",,,,"parcheggio","46,298782","11,446336","Via Coltura",38030,"Daiano",,,,,,,,,,,,,,,,,,,,,,,,,,
"piazza Degasperi - Daiano",,,,"parcheggio","46,300643","11,447924","Piazza Degasperi",38030,"Daiano",,,,,,,,,,,,,,,,,,,,,,,,,,
"campo sportivo - Daiano",,,,"parcheggio","46,309922","11,446894","Località Pozzal",38030,"Daiano",,,,,,,,,,,,,,,,,,,,,,,,,,
"centro fondo - Passo Lavazè",,,,"parcheggio","46,354615","11,493069","Passo di Lavazé",38030,"Varena",,,,,,,,,,,,,,,,,,,,,,,,,,
"passo - Passo Lavazè",,,,"parcheggio","46,354792","11,491451","Passo di Lavazé",38030,"Varena",,,,,,,,,,,,,,,,,,,,,,,,,,
"malga Varena - Passo Lavazè",,,,"parcheggio","46,352304","11,486312","Passo di Lavazé",38030,"Varena",,,,,,,,,,,,,,,,,,,,,,,,,,
"malga Daiano - Passo Lavazè",,,,"parcheggio","46,35691","11,495324","Passo di Lavazé",38030,"Varena",,,,,,,,,,,,,,,,,,,,,,,,,,
"municipio - Panchià",,,,"parcheggio","46,285579","11,541576","Piazza Chiesa",38030,"Panchià",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Segato - Panchià",,,,"parcheggio","46,286543","11,54237","Via Segato",38030,"Panchià",,,,,,,,,,,,,,,,,,,,,,,,,,
"piazza Chiesa - Panchià",,,,"parcheggio","46,286254","11,541222","Piazza Chiesa",38030,"Panchià",,,,,,,,,,,,,,,,,,,,,,,,,,
"via Costa - Panchià",,,,"parcheggio","46,289286","11,539087","Via Costa",38030,"Panchià",,,,,,,,,,,,,,,,,,,,,,,,,,
"campo sportivo - Panchià",,,,"parcheggio","46,28509","11,549247","Via Nazionale",38030,"Panchià",,,,,,,,,,,,,,,,,,,,,,,,,,
"ss48 - Panchià",,,,"parcheggio","46,285475","11,552476","Via Nazionale",38030,"Panchià",,,,,,,,,,,,,,,,,,,,,,,,,,
"campo sportivo - Tesero",,,,"parcheggio","46,299701","11,504313","Località Cerin",38038,"Tesero",,,,,,,,,,,,,,,,,,,,,,,,,,
